id,combo,category,name,fileName,planType,includeType,inferredPlan,inferredIncludeType,issues,combinations
"6960a23c07a2cd8303200de9","google-mydrive-to-onedrive","content","Google MyDrive to OneDrive Standard Plan - Standard Include","Google MyDrive to OneDrive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""google-mydrive-to-onedrive"",""all""]"
"6960a23c07a2cd8303200dea","google-mydrive-to-onedrive","content","Google MyDrive to OneDrive Standard Plan - Standard Not Include","Google MyDrive to OneDrive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""google-mydrive-to-onedrive"",""all""]"
"6960a78babe789ae5811ef80","google-mydrive-to-google-sharedrive","content","Google MyDrive to Google Shared Drive Standard Plan - Standard Include","Google MyDrive to Google Shared Drive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""google-mydrive-to-google-sharedrive"",""all""]"
"6960a78babe789ae5811ef81","google-mydrive-to-google-sharedrive","content","Google MyDrive to Google Shared Drive Standard Plan - Standard Not Include","Google MyDrive to Google Shared Drive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""google-mydrive-to-google-sharedrive"",""all""]"
"6960b04b5e2ee52c3b80ec88","google-mydrive-to-google-mydrive","content","Google MyDrive to Google MyDrive Standard Plan - Standard Include","Google MyDrive to Google MyDrive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""google-mydrive-to-google-mydrive"",""all""]"
"6960b04b5e2ee52c3b80ec89","google-mydrive-to-google-mydrive","content","Google MyDrive to Google MyDrive Standard Plan - Standard Not Include","Google MyDrive to Google MyDrive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""google-mydrive-to-google-mydrive"",""all""]"
"6960b21540221a220ce19c2f","google-mydrive-to-egnyte","content","Google MyDrive to Egnyte Standard Plan - Standard Include","Google MyDrive to Egnyte Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""google-mydrive-to-egnyte"",""all""]"
"6960b21540221a220ce19c30","google-mydrive-to-egnyte","content","Google MyDrive to Egnyte Standard Plan - Standard Not Include","Google MyDrive to Egnyte Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""google-mydrive-to-egnyte"",""all""]"
"6960b344ffcb6b9f0c93e6d4","google-mydrive-to-dropbox","content","Google MyDrive to Dropbox Standard Plan - Standard Include","Google MyDrive to Dropbox Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""google-mydrive-to-dropbox"",""all""]"
"6960b344ffcb6b9f0c93e6d5","google-mydrive-to-dropbox","content","Google MyDrive to Dropbox Standard Plan - Standard Not Include","Google MyDrive to Dropbox Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""google-mydrive-to-dropbox"",""all""]"
